EmployeeID,NationalIDNumber,LoginID,ManagerID,FirstName,MiddleName,LastName,Title,EmailAddress,EmailPromotion,Phone,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag
1,14417807,adventure-works\guy1,16,Guy,R,Gilbert,"Production Technician - WC60",guy1@adventure-works.com,0,320-555-0195,"1972-05-15 00:00:00",M,M,"1996-07-31 00:00:00",0,21,30,1
2,253022876,adventure-works\kevin0,6,Kevin,F,Brown,"Marketing Assistant",kevin0@adventure-works.com,2,150-555-0189,"1977-06-03 00:00:00",S,M,"1997-02-26 00:00:00",0,42,41,1
3,509647174,adventure-works\roberto0,12,Roberto,NULL,Tamburello,"Engineering Manager",roberto0@adventure-works.com,0,212-555-0187,"1964-12-13 00:00:00",M,M,"1997-12-12 00:00:00",1,2,21,1
4,112457891,adventure-works\rob0,3,Rob,NULL,Walters,"Senior Tool Designer",rob0@adventure-works.com,0,612-555-0100,"1965-01-23 00:00:00",S,M,"1998-01-05 00:00:00",0,48,80,1
5,480168528,adventure-works\thierry0,263,Thierry,B,D'Hers,"Tool Designer",thierry0@adventure-works.com,2,168-555-0183,"1949-08-29 00:00:00",M,M,"1998-01-11 00:00:00",0,9,24,1
6,24756624,adventure-works\david0,109,David,M,Bradley,"Marketing Manager",david0@adventure-works.com,1,913-555-0172,"1965-04-19 00:00:00",S,M,"1998-01-20 00:00:00",1,40,40,1
7,309738752,adventure-works\jolynn0,21,JoLynn,M,Dobney,"Production Supervisor - WC60",jolynn0@adventure-works.com,1,903-555-0145,"1946-02-16 00:00:00",S,F,"1998-01-26 00:00:00",0,82,61,1
8,690627818,adventure-works\ruth0,185,Ruth,Ann,Ellerbrock,"Production Technician - WC10",ruth0@adventure-works.com,0,145-555-0130,"1946-07-06 00:00:00",M,F,"1998-02-06 00:00:00",0,83,61,1
9,695256908,adventure-works\gail0,3,Gail,A,Erickson,"Design Engineer",gail0@adventure-works.com,0,849-555-0139,"1942-10-29 00:00:00",M,F,"1998-02-06 00:00:00",1,5,22,1
10,912265825,adventure-works\barry0,185,Barry,K,Johnson,"Production Technician - WC10",barry0@adventure-works.com,0,206-555-0180,"1946-04-27 00:00:00",S,M,"1998-02-07 00:00:00",0,88,64,1
11,998320692,adventure-works\jossef0,3,Jossef,H,Goldberg,"Design Engineer",jossef0@adventure-works.com,0,122-555-0189,"1949-04-11 00:00:00",M,M,"1998-02-24 00:00:00",1,6,23,1
